"episode","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - _step","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - _step__MIN","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - _step__MAX","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - train_rewards","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - train_rewards__MIN","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - train_rewards__MAX"
"37","73","73","73","-4288.007569862849","-6957.876575470316","-605.2050229091022"
"38","75","75","75","-4280.865106169642","-6720.122914935227","-630.973753237038"
"39","77","77","77","-4996.494311481879","-7094.565799701023","-935.00125039718"
"40","79","79","79","-5026.090118276869","-6648.814688802679","-799.8945982740754"
"41","81","81","81","-5247.972144344359","-6331.571068761275","-3489.166488638019"
"42","83","83","83","-3490.1339864093193","-6513.95291382322","-774.4465379241117"
"43","85","85","85","-3752.1723886648892","-6375.150482797645","-1011.8901273009602"
"44","87","87","87","-2277.8161125547385","-6518.190380247152","-623.2597784636032"
"45","89","89","89","-4416.676636298599","-5896.884196445886","-1715.7318035187284"
"46","91","91","91","-4290.464682927327","-6648.358126927432","-1347.3156381654271"
"47","93","93","93","-3764.036849357264","-6590.160107910352","-953.4309019207235"
"48","95","95","95","-3474.350060648757","-6515.17637206382","-1474.6127768484464"
"49","97","97","97","-3129.389403601788","-5652.044473449933","-989.8569452637829"
"50","99","99","99","-2670.361306753121","-5638.576470351304","-530.2936734613764"
"51","101","101","101","-2909.199394465409","-5964.554337345678","-561.7612237864344"
"52","103","103","103","-2725.504031420908","-5837.16020616606","-514.624194844463"
"53","105","105","105","-3147.076236216072","-6340.18025028701","-521.5858505886141"
"54","107","107","107","-3092.2526280401967","-6170.347567493407","-541.488641003244"
"55","109","109","109","-3498.654471889529","-6422.944405861375","-408.0151001182491"
"56","111","111","111","-3521.866758799371","-6392.230050987676","-704.1795700905376"
"57","113","113","113","-2747.146660358322","-6004.658281668216","-538.3151526785563"
"58","115","115","115","-2962.953574867478","-6146.173005976997","-489.89125473129405"
"59","117","117","117","-4141.182717587606","-6818.897507741178","-701.9529037815603"
"60","119","119","119","-4327.783923089543","-6513.267654337904","-531.842642324406"
"61","121","121","121","-4747.727564194424","-6500.461716034376","-518.5143919714977"
"62","123","123","123","-4697.835241212991","-6709.77211095875","-508.5559471462567"
"63","125","125","125","-3903.3580303552676","-7186.954731686465","-580.0190803677682"
"64","127","127","127","-3850.7388312731428","-6979.957070739178","-431.6966912664457"
"65","129","129","129","-4250.135606283189","-7308.820538259459","-437.29258482115023"
"66","131","131","131","-4424.879813503726","-7193.990554363707","-707.9189996676678"
"67","133","133","133","-4860.395240484671","-6973.886806612872","-465.5198367280924"
"68","135","135","135","-3199.948063522583","-6609.983803363659","-764.7441775063706"
"69","137","137","137","-3073.4380176112995","-6504.473273537444","-501.11357944924555"
"70","139","139","139","-3131.2821007271027","-6617.837513435175","-555.2612157259533"
"71","141","141","141","-3264.6614397100893","-7067.32526398671","-1051.4264487037724"
"72","143","143","143","-2835.5666466629464","-6164.910073741451","-572.791769733429"
"73","145","145","145","-3608.04580902526","-6592.095808475596","-1125.289029978418"
"74","147","147","147","-2781.69738092039","-6902.964547888948","-711.1481374080341"
"75","149","149","149","-3362.70650186904","-7227.582672506339","-671.518803300703"
"76","151","151","151","-3331.621628899974","-6678.509995981147","-718.544914208208"
"77","153","153","153","-3922.5601607457465","-7444.1161731426355","-842.163865299316"
"78","155","155","155","-3555.1891765514106","-7192.296215860586","-862.0886819036803"
"79","157","157","157","-2762.252665711958","-7020.398942212767","-362.8722996636509"
