"episode","happy-moon-327","happy-moon-327__MIN","happy-moon-327__MAX","dry-smoke-325","dry-smoke-325__MIN","dry-smoke-325__MAX","easy-bee-324","easy-bee-324__MIN","easy-bee-324__MAX","atomic-cloud-322","atomic-cloud-322__MIN","atomic-cloud-322__MAX","sandy-pine-320","sandy-pine-320__MIN","sandy-pine-320__MAX"
"11","-24178.645488851624","-48378.29097770325","21","-35.22203063146948","-91.44406126293896","21","-91.30163938269637","-203.60327876539273","21","-2827.6923081668738","-5676.3846163337475","21","-169.34566983104014","-359.6913396620803","21"
"12","-28782.647028268733","-57588.29405653747","23","-662.7223770127937","-1348.4447540255874","23","-4.610264439756524","-32.22052887951305","23","-4792.534297300577","-9608.068594601154","23","-20.183329173799603","-63.366658347599206","23"
"13","-25706.92542148659","-51438.85084297318","25","-14982.072409464294","-29989.144818928587","25","-64.66243129461255","-154.3248625892251","25","-16650.36123358007","-33325.72246716014","25","-201.74515820394353","-428.49031640788706","25"
"14","-24537.783338067507","-49102.566676135015","27","-112.18104119612865","-251.3620823922573","27","-45.965357820225954","-118.93071564045191","27","-22271.594878441665","-44570.18975688333","27","-138.39909817595623","-303.79819635191245","27"
"15","-6142.782707514938","-12314.565415029876","29","-312.9968598683076","-654.9937197366152","29","-64.83321533716062","-158.66643067432125","29","-818.0991935433523","-1665.1983870867045","29","-6.079809996962613","-41.159619993925226","29"
"16","-302.6251389013853","-636.2502778027706","31","-565.801722260538","-1162.603444521076","31","-947.0100280444756","-1925.0200560889512","31","-1599.244966815383","-3229.489933630766","31","-59.96261402348922","-150.92522804697845","31"
"17","-1142.5314791092057","-2318.0629582184115","33","-288.65866496266335","-610.3173299253267","33","-26.140918113237","-85.281836226474","33","-138.6228570235118","-310.2457140470236","33","-8.336169984954648","-49.672339969909295","33"
"18","-1019.3559409790116","-2073.7118819580232","35","-200.91957889737057","-436.83915779474114","35","-10.847349776822586","-56.69469955364517","35","-1291.7212539903826","-2618.442507980765","35","-11.196057750307897","-57.392115500615795","35"
"19","-730.82670799185","-1498.6534159837","37","-192.9810513172734","-422.9621026345468","37","-81.61650269647286","-200.23300539294573","37","-2319.4455806768533","-4675.891161353707","37","2.0009429838753867","-32.99811403224923","37"
"20","-367.34611652339834","-773.6922330467967","39","-98.81627514634356","-236.6325502926871","39","-7.549750445219505","-54.09950089043901","39","-4039.5676361924816","-8118.135272384963","39","-352.18183059099545","-743.3636611819909","39"
"21","-1789.6728524567038","-3620.3457049134076","41","-21.87272821988047","-84.74545643976094","41","-35.34318677615317","-111.68637355230634","41","-329.9167644775563","-700.8335289551126","41","-121.47447465096249","-283.948949301925","41"
"22","-279.3105681639093","-601.6211363278186","43","-10.163873535320384","-63.32774707064077","43","-46.79569899204199","-136.59139798408398","43","-3474.2777063238864","-6991.555412647773","43","-18.389298034258317","-79.77859606851663","43"
"23","-444.43903722052187","-933.8780744410437","45","-293.52397040845295","-632.0479408169059","45","-23.62163160963668","-92.24326321927336","45","-764.7735191584064","-1574.5470383168129","45","-246.36832092445883","-537.7366418489177","45"
"24","-816.9403423465085","-1680.880684693017","47","-56.873635486553496","-160.747270973107","47","-0.4878224688374466","-47.97564493767489","47","-313.6319851170281","-674.2639702340562","47","-64.25004814924579","-175.50009629849157","47"
"25","-738.8103185658314","-1526.6206371316628","49","-11.224374215818798","-71.4487484316376","49","21.920160779276557","-5.159678441446886","49","-219.18283453924718","-487.36566907849436","49","-29.656786269730013","-108.31357253946003","49"
"26","-1279.3246940430329","-2609.6493880860658","51","-116.41235782541747","-283.82471565083495","51","-14.655863664273468","-80.31172732854694","51","-313.58016964963633","-678.1603392992727","51","1.8816335430372035","-47.23673291392559","51"
"27","-2484.260895670746","-5021.521791341492","53","-4.61550538032586","-62.23101076065172","53","13.37436284465535","-26.2512743106893","53","5.713270823466903","-41.573458353066194","53","-56.14864786525946","-165.29729573051893","53"
"28","-1188.0315515203695","-2431.063103040739","55","-176.6081139501479","-408.2162279002958","55","-25.90329664537154","-106.80659329074308","55","-138.86264618893742","-332.72529237787484","55","-15.75582783328936","-86.51165566657872","55"
