"episode","happy-moon-327","happy-moon-327__MIN","happy-moon-327__MAX","dry-smoke-325","dry-smoke-325__MIN","dry-smoke-325__MAX","easy-bee-324","easy-bee-324__MIN","easy-bee-324__MAX","atomic-cloud-322","atomic-cloud-322__MIN","atomic-cloud-322__MAX","sandy-pine-320","sandy-pine-320__MIN","sandy-pine-320__MAX"
"132","-247.7158408609559","-758.4316817219118","263","-88.91481362876422","-440.82962725752844","263","105.01631177471084","-52.96737645057832","263","117.594287175414","-27.811425649171994","263","123.59480129865553","-15.81039740268895","263"
"133","-90.7312485830156","-446.4624971660312","265","-25.69028415484823","-316.38056830969646","265","122.25566502277334","-20.488669954453314","265","52.09646783748235","-160.8070643250353","265","118.41401243727118","-28.17197512545763","265"
"134","-134.7383219976416","-536.4766439952832","267","-491.8311047604193","-1250.6622095208386","267","85.96625457380847","-95.06749085238307","267","-106.47340463468143","-479.94680926936286","267","100.85878834334991","-65.28242331330016","267"
"135","23.002774392902126","-222.99445121419575","269","-40.0506346493396","-349.1012692986792","269","-48.261677006335475","-365.52335401267095","269","-9.628643130319574","-288.25728626063915","269","61.01241186039847","-146.97517627920305","269"
"136","-95.32216200965857","-461.64432401931714","271","92.2387392095653","-86.5225215808694","271","108.6845753262125","-53.630849347575","271","-13.49340391432736","-297.9868078286547","271","91.16195779936426","-88.67608440127148","271"
"137","-110.80166336011027","-494.60332672022054","273","61.812052209982724","-149.37589558003455","273","119.82178075131992","-33.35643849736016","273","-237.90569740783855","-748.8113948156771","273","120.53219014784268","-31.935619704314632","273"
"138","-406.1992476244286","-1087.3984952488572","275","112.54188779914924","-49.91622440170154","275","84.85780884390415","-105.2843823121917","275","103.94282117649342","-67.11435764701316","275","50.51401633567728","-173.97196732864543","275"
"139","-40.35072182604836","-357.7014436520967","277","86.86819057631337","-103.26361884737327","277","95.49611460085814","-86.00777079828373","277","-1.2438560994104364","-279.4877121988209","277","107.55112131430593","-61.897757371388145","277"
"140","-33.41371956478139","-345.8274391295628","279","129.4978707631953","-20.004258473609433","279","118.61372949527139","-41.77254100945723","279","98.29395683088967","-82.41208633822066","279","92.31217005394738","-94.37565989210523","279"
"141","-432.654514168191","-1146.309028336382","281","-97.59750371781581","-476.1950074356316","281","81.27211783389598","-118.45576433220803","281","-172.20813478561195","-625.4162695712239","281","103.13804204234275","-74.7239159153145","281"
"142","-256.6372099244863","-796.2744198489726","283","131.03882727652476","-20.922345446950487","283","41.79309624280643","-199.41380751438714","283","-24.01805798785267","-331.03611597570534","283","70.28034840959555","-142.4393031808089","283"
"143","-0.7554836582987718","-286.51096731659754","285","124.08687895087418","-36.82624209825163","285","130.3271094354039","-24.34578112919217","285","-92.3950310684489","-469.7900621368978","285","136.10602693087725","-12.7879461382455","285"
"144","-331.3490001940688","-949.6980003881376","287","119.38781262838879","-48.224374743222434","287","41.65750946555667","-203.68498106888666","287","121.16778039304299","-44.66443921391401","287","109.16058251399602","-68.67883497200796","287"
"145","-139.53459637983428","-568.0691927596686","289","35.11962232687337","-218.76075534625326","289","24.017781154820568","-240.96443769035886","289","-116.05552230061","-521.11104460122","289","-100.4424876372149","-489.8849752744298","289"
"146","-210.09677268293075","-711.1935453658615","291","30.997557772173522","-229.00488445565296","291","79.91684402549848","-131.16631194900305","291","-56.586177672476765","-404.17235534495353","291","64.29762248794097","-162.40475502411806","291"
"147","14.059379011009327","-264.88124197798135","293","102.65239291968163","-87.69521416063674","293","85.99774304875716","-121.00451390248568","293","-268.35245451951675","-829.7049090390335","293","121.68834715241286","-49.623305695174274","293"
"148","44.34842938519819","-206.30314122960363","295","66.91922396032179","-161.16155207935643","295","78.40284332226838","-138.19431335546324","295","126.29537304525891","-42.40925390948216","295","129.38326079662062","-36.233478406758756","295"
"149","86.10146188441561","-124.79707623116877","297","84.78735321794883","-127.42529356410232","297","133.07860567622853","-30.84278864754294","297","-29.188734170915353","-355.3774683418307","297","105.68720884413905","-85.6255823117219","297"
"150","-97.14041115995738","-493.28082231991476","299","59.246859015479416","-180.50628196904117","299","82.15424319365081","-134.69151361269837","299","-256.796408408761","-812.592816817522","299","123.42470377097304","-52.150592458053914","299"
"151","138.3656631827412","-24.268673634517604","301","-40.96857158618758","-382.93714317237516","301","115.37715882539607","-70.24568234920788","301","-347.52192349752954","-996.0438469950591","301","122.65247662552761","-55.69504674894477","301"
"152","-74.26285628162054","-451.5257125632411","303","-225.31653139582744","-753.6330627916549","303","110.2528938069233","-82.49421238615341","303","140.57081823532383","-21.85836352935237","303","142.6475765572207","-17.704846885558595","303"
"153","-284.41788681984286","-873.8357736396857","305","97.92359573456997","-109.15280853086007","305","78.46711679800146","-148.0657664039971","305","74.60529788908813","-155.78940422182373","305","-220.53267448128503","-746.06534896257","305"
"154","-80.62307128281347","-468.24614256562694","307","42.10950709748394","-222.78098580503212","307","104.42132852558271","-98.1573429488346","307","81.68112962728328","-143.63774074543343","307","148.68193058450217","-9.636138830995664","307"
"155","-79.09927602782281","-467.1985520556456","309","21.573733590559073","-265.85253281888185","309","33.76362338432004","-241.47275323135992","309","140.9277559125352","-27.14448817492963","309","139.55713811992487","-29.885723760150274","309"
"156","104.51987705804942","-101.96024588390118","311","7.622274058748559","-295.7554518825029","311","-96.43014016649335","-503.8602803329867","311","44.261721181937844","-222.4765576361243","311","111.7283153826015","-87.54336923479703","311"
"157","102.45068825015098","-108.09862349969805","313","-95.3216055998092","-503.6432111996184","313","108.59035835734983","-95.81928328530033","313","-16.689330637880687","-346.3786612757614","313","82.166504082173","-148.666991835654","313"
"158","-163.1792738814563","-641.3585477629126","315","32.36877727369762","-250.26244545260477","315","130.7927744185727","-53.41445116285464","315","-157.29382210579644","-629.5876442115929","315","69.58891515498779","-175.82216969002442","315"
"159","-218.549089067468","-754.098178134936","317","-205.6012467717294","-728.2024935434588","317","-148.0959329464423","-613.1918658928846","317","-681.3018597684359","-1679.6037195368717","317","93.95286303054473","-129.09427393891053","317"
"160","115.28779783787586","-88.42440432424829","319","-123.32389429688106","-565.6477885937621","319","151.62522186596505","-15.749556268069883","319","-19.23607415164318","-357.47214830328636","319","107.41520349667397","-104.16959300665205","319"
"161","7.156281572568275","-306.68743685486345","321","120.95547992014062","-79.08904015971876","321","12.585388339734237","-295.8292233205315","321","-51.40937738286351","-423.818754765727","321","-454.6174327006074","-1230.2348654012148","321"
"162","-319.82137490377244","-962.6427498075449","323","-41.217831194310406","-405.4356623886208","323","-11.939036894073183","-346.87807378814637","323","153.85143614544853","-15.297127709102922","323","6.494356886007836","-310.01128622798433","323"
"163","-81.64458325827133","-488.28916651654265","325","111.80905377241658","-101.38189245516683","325","-51.79492472570462","-428.58984945140924","325","160.56887713011483","-3.862245739770338","325","147.37547120291026","-30.249057594179472","325"
"164","-475.4497329710789","-1277.8994659421578","327","46.26523972090692","-234.46952055818616","327","-10.106276141017332","-347.21255228203466","327","63.77012339000264","-199.45975321999472","327","52.23400892179423","-222.53198215641154","327"
"165","34.75786468859809","-259.4842706228038","329","109.95394267696747","-109.09211464606507","329","158.4340615451055","-12.131876909789016","329","80.86268649030553","-167.27462701938893","329","52.15039465062371","-224.69921069875258","329"
"166","31.05670306606899","-268.886593867862","331","-484.24912676654696","-1299.498253533094","331","155.55860994875562","-19.882780102488745","331","136.43259388154328","-58.13481223691345","331","151.06772111374144","-28.864557772517113","331"
"167","151.7841521185683","-29.431695762863413","333","43.33014650257323","-246.33970699485354","333","139.1861138179266","-54.62777236414676","333","-19.82135144955535","-372.6427028991107","333","99.70685739463923","-133.58628521072154","333"
"168","-80.79408606684004","-496.5881721336801","335","40.61821033033806","-253.76357933932388","335","110.90486313513703","-113.19027372972593","335","60.584850683239296","-213.8302986335214","335","77.16454007588783","-180.67091984822434","335"
"169","-147.80484953796048","-632.609699075921","337","24.31764331829558","-288.36471336340884","337","50.27370073427602","-236.45259853144796","337","108.56719667353025","-119.8656066529395","337","80.90065169179378","-175.19869661641243","337"
"170","-96.58993480117027","-532.1798696023405","339","85.90759358227544","-167.18481283544912","339","161.63071331622092","-15.738573367558187","339","22.28235763524475","-294.4352847295105","339","159.5942366348919","-19.81152673021619","339"
"171","-29.05885853507033","-399.11771707014066","341","-438.9654643830413","-1218.9309287660826","341","136.94470421391938","-67.11059157216125","341","158.5179898226101","-23.964020354779805","341","157.86659309882145","-25.266813802357063","341"
"172","-65.78669060259637","-474.57338120519273","343","-136.33353324926532","-615.6670664985306","343","122.4022078635252","-98.1955842729496","343","24.921530035030656","-293.1569399299387","343","-83.97408721373904","-510.9481744274781","343"
"173","-102.82810084109389","-550.6562016821878","345","-96.49481873200943","-537.9896374640189","345","84.44254784721994","-176.11490430556012","345","-95.37601598171415","-535.7520319634283","345","128.5616984706835","-87.876603058633","345"
"174","0.21961643601949277","-346.560767127961","347","-100.0451975379234","-547.0903950758468","347","112.29042075101319","-122.41915849797361","347","101.38704712130205","-144.2259057573959","347","148.80079725576672","-49.39840548846656","347"
"175","46.9102322673144","-255.1795354653712","349","-195.1837432177245","-739.367486435449","349","145.07519662849597","-58.84960674300803","349","0.8706311054162086","-347.2587377891676","349","81.61238898393668","-185.77522203212663","349"
"176","-89.28680046935807","-529.5736009387161","351","41.20171163450473","-268.59657673099053","351","63.42658105353638","-224.14683789292724","351","151.34012794045998","-48.319744119080056","351","128.25989979478467","-94.48020041043065","351"
"177","78.57843673303687","-195.84312653392627","353","-36.115140437072995","-425.230280874146","353","158.22951229088847","-36.54097541822306","353","88.82655479224037","-175.34689041551925","353","114.50713226246182","-123.98573547507637","353"
"178","-35.49019774976932","-425.98039549953864","355","-67.92063627590116","-490.8412725518023","355","170.9856924647847","-13.028615070430602","355","61.646850138384835","-231.70629972323033","355","106.17593152273587","-142.64813695452827","355"
"179","-221.6875579657243","-800.3751159314486","357","143.87553908212325","-69.24892183575349","357","89.75794946987406","-177.48410106025187","357","70.26340526024798","-216.47318947950404","357","101.72523202409809","-153.54953595180382","357"
"180","-22.89306623469446","-404.7861324693889","359","138.8005251649942","-81.39894967001158","359","93.26993063355904","-172.46013873288192","359","91.34809950341706","-176.30380099316588","359","16.56410507947615","-325.8717898410477","359"
"181","-331.72617930466504","-1024.45235860933","361","163.39499849595765","-34.210003008084705","361","133.4043120933639","-94.19137581327222","361","-148.735684875216","-658.471369750432","361","-4.186699049544956","-369.3733980990899","361"
"182","-386.7661965804199","-1136.5323931608398","363","118.20302625373364","-126.5939474925327","363","108.2137845207772","-146.5724309584456","363","32.996605140122085","-297.00678971975583","363","133.24430343763999","-96.51139312472006","363"
"183","-120.43224820588182","-605.8644964117636","365","95.99338018967505","-173.0132396206499","365","159.77385783840668","-45.4522843231866","365","-458.3025704389089","-1281.6051408778178","365","175.42181079183834","-14.156378416323342","365"
"184","-83.7833171216268","-534.5666342432536","367","106.05939404037278","-154.88121191925444","367","24.79439269284444","-317.4112146143111","367","179.10322789671216","-8.79354420657569","367","106.37273361083002","-154.25453277833995","367"
"185","-676.7112854925372","-1722.4225709850743","369","49.70814950540421","-269.5837009891916","369","151.41728389168227","-66.16543221663547","369","-535.5170272038964","-1440.0340544077928","369","83.49795743689256","-202.00408512621487","369"
"186","-285.78535507854264","-942.5707101570853","371","179.09030164434208","-12.819396711315823","371","160.2081664705804","-50.58366705883917","371","-111.67450884183643","-594.3490176836729","371","-166.00801221996932","-703.0160244399386","371"
"187","-374.3612053387045","-1121.722410677409","373","155.7649800864825","-61.470039827035","373","63.92798736266879","-245.14402527466243","373","-439.2329687790393","-1251.4659375580786","373","148.31160741886777","-76.37678516226448","373"
"188","-469.3673004927763","-1313.7346009855526","375","22.84059745146186","-329.3188050970763","375","155.75487352518115","-63.490252949637714","375","-640.2897262824914","-1655.5794525649828","375","170.72694049209235","-33.54611901581527","375"
"189","-219.46547598612636","-815.9309519722527","377","154.6366213671165","-67.726757265767","377","8.962218946866386","-359.0755621062672","377","-854.770514023571","-2086.541028047142","377","137.89548546613503","-101.20902906772994","377"
"190","-148.0408262969654","-675.0816525939308","379","131.70564119313676","-115.58871761372649","379","175.10054403918488","-28.79891192163025","379","-946.515940340041","-2272.031880680082","379","181.90371856405076","-15.192562871898447","379"
"191","-285.4992152555364","-951.9984305110728","381","4.501602843778471","-371.99679431244306","381","186.09865611066542","-8.802687778669162","381","-532.160304212678","-1445.320608425356","381","163.53079202276868","-53.93841595446266","381"
"192","107.85826988512517","-167.28346022974966","383","131.96112136514395","-119.07775726971211","383","124.90296418024784","-133.19407163950433","383","176.44985698818036","-30.10028602363928","383","179.1365845486894","-24.72683090262118","383"
"193","-141.0728164722285","-667.145632944457","385","176.8541065795903","-31.291786840819363","385","152.25851733043484","-80.4829653391303","385","-438.1003440992141","-1261.2006881984282","385","182.64871740249242","-19.702565195015154","385"
"194","-189.80025938565495","-766.6005187713099","387","-57.49993216102774","-501.9998643220555","387","113.60928788467895","-159.7814242306421","387","7.203364239518862","-372.5932715209623","387","159.2955861652847","-68.40882766943056","387"
"195","-66.32674550831808","-521.6534910166362","389","173.9513852191772","-41.09722956164555","389","-30.126603184575856","-449.2532063691517","389","-398.45729711702234","-1185.9145942340447","389","176.90185084069822","-35.19629831860356","389"
"196","-69.81654543423417","-530.6330908684683","391","166.25088769914962","-58.49822460170075","391","162.628001482174","-65.74399703565201","391","-236.40402551486704","-863.8080510297341","391","189.40873660369817","-12.182526792603635","391"
"197","-883.9867262567068","-2160.9734525134136","393","132.76472665998182","-127.47054668003639","393","31.518788981942862","-329.9624220361143","393","-303.32467645630055","-999.6493529126011","393","87.96962667051986","-217.06074665896028","393"
"198","-96.19715403300364","-587.3943080660073","395","-61.398252035093265","-517.7965040701865","395","163.13673154223176","-68.72653691553646","395","-133.87101335836763","-662.7420267167353","395","191.53963527448062","-11.920729451038783","395"
"199","-379.7082075398172","-1156.4164150796344","397","160.90895794971613","-75.18208410056775","397","33.61653216511573","-329.76693566976854","397","-99.85254297823445","-596.7050859564689","397","193.4416289166069","-10.1167421667862","397"
"200","-299.17545433447293","-997.3509086689459","399","70.67932587515617","-257.64134824968767","399","193.98901005365838","-11.021979892683222","399","-326.52881176952667","-1052.0576235390533","399","188.7414764462174","-21.517047107565176","399"
"201","-484.9343635893348","-1370.8687271786696","401","161.56024274831927","-77.87951450336145","401","72.52812556442807","-255.94374887114387","401","-296.6130638730201","-994.2261277460402","401","145.59128421540993","-109.81743156918013","401"
"202","101.75122135986673","-199.49755728026653","403","125.59526363451539","-151.80947273096922","403","145.7604207880637","-111.47915842387263","403","-170.27983208603746","-743.5596641720749","403","156.12345264275763","-90.75309471448473","403"
"203","-273.20131609516034","-951.4026321903207","405","157.90461903215825","-89.1907619356835","405","93.772450680843","-217.455098638314","405","-1228.924972303804","-2862.849944607608","405","139.45279953248635","-126.09440093502728","405"
"204","-151.53559973388997","-710.0711994677799","407","123.05002086768916","-160.8999582646217","407","180.89534121386976","-45.2093175722605","407","43.37096299731749","-320.258074005365","407","5.6749046053306245","-395.65019078933875","407"
"205","72.26649508179977","-264.46700983640045","409","-91.9948997130279","-592.9897994260558","409","132.8196706358469","-143.3606587283062","409","-331.2827063874903","-1071.5654127749806","409","201.71968974649286","-5.5606205070142805","409"
"206","104.50956961154405","-201.9808607769119","411","71.58764005689017","-267.82471988621967","411","155.1133135805851","-100.77337283882983","411","-144.82631992024272","-700.6526398404854","411","151.51950796965744","-107.9609840606851","411"
"207","112.44392978040462","-188.11214043919077","413","66.60843437369834","-279.7831312526033","413","88.24313318382232","-236.51373363235535","413","-362.98126625259374","-1138.9625325051875","413","201.38720441264059","-10.225591174718806","413"
"208","-87.59253898150297","-590.1850779630059","415","106.11498062532239","-202.77003874935522","415","166.25770205904087","-82.48459588191828","415","-109.99507319267491","-634.9901463853498","415","173.0365806426574","-68.92683871468519","415"
"209","-99.90538681481934","-616.8107736296387","417","86.2554218127046","-244.4891563745908","417","195.53412290362274","-25.931754192754486","417","120.94636613877104","-175.10726772245792","417","186.12237563289577","-44.755248734208486","417"
"210","89.54977670984175","-239.9004465803165","419","40.941463330630995","-337.117073338738","419","185.8132573519949","-47.37348529601019","419","81.97232891130064","-255.05534217739873","419","178.33724792165063","-62.32550415669872","419"
"211","-153.94461459104167","-728.8892291820833","421","84.94949253320735","-251.1010149335853","421","127.1810498381599","-166.6379003236802","421","14.884012868446973","-391.23197426310605","421","158.58273823716797","-103.83452352566403","421"
"212","105.5197987630821","-211.9604024738358","423","36.90021544780791","-349.1995691043842","423","192.97975694071852","-37.040486118562946","423","181.30296522296854","-60.394069554062916","423","194.25408734336438","-34.491825313271235","423"
"213","60.094420625413335","-304.81115874917333","425","187.6949539601106","-49.61009207977877","425","200.72545825871492","-23.54908348257014","425","-67.38742277636374","-559.7748455527275","425","164.91385574878552","-95.17228850242894","425"
"214","10.905643685504685","-405.18871262899063","427","125.75514682183204","-175.48970635633592","427","21.334868127698485","-384.33026374460303","427","65.235799242638","-296.528401514724","427","132.50523985041718","-161.98952029916566","427"
"215","-647.9687335794688","-1724.9374671589376","429","180.73984694880605","-67.52030610238792","429","171.61324724855768","-85.77350550288462","429","-25.577164358640488","-480.154328717281","429","190.40762028362695","-48.1847594327461","429"
"216","209.20445554633866","-12.591088907322657","431","-28.02560122360657","-487.05120244721314","431","100.34213499140319","-230.31573001719363","431","80.85027049764659","-269.2994590047068","431","148.416651233651","-134.166697532698","431"
"217","197.86173806316054","-37.2765238736789","433","170.94880548595287","-91.10238902809427","433","63.3970995948674","-306.2058008102652","433","202.56447560234116","-27.87104879531768","433","141.75289177994534","-149.49421644010928","433"
"218","-273.05566601597144","-981.1113320319429","435","47.02258541380223","-340.95482917239553","435","156.30058385599034","-122.39883228801934","435","193.22149248594235","-48.55701502811531","435","89.41005627977685","-256.1798874404463","435"
"219","202.53920091434154","-31.921598171316944","437","130.82972112786285","-175.3405577442743","437","207.81954249782495","-21.360915004350087","437","90.39772428898189","-256.2045514220362","437","-118.6664797858499","-674.3329595716998","437"
"220","-124.78931609516422","-688.5786321903284","439","-22.04775095941787","-483.09550191883574","439","187.8680587001547","-63.26388259969058","439","59.55466600713331","-319.8906679857334","439","60.64324950879882","-317.71350098240237","439"
"221","163.7442625878385","-113.51147482432299","441","8.53980682929975","-423.9203863414005","441","114.29919485780319","-212.40161028439363","441","-64.05686384543128","-569.1137276908626","441","207.33280353224757","-26.33439293550484","441"
"222","85.79584595018679","-271.4083080996264","443","217.9971179669064","-7.005764066187215","443","202.9043714716436","-37.19125705671282","443","205.55791684097943","-31.884166318041157","443","79.02683028798083","-284.94633942403834","443"
"223","135.6993874370293","-173.60122512594143","445","117.6705956600127","-209.6588086799746","445","194.42444982784133","-56.151100344317356","445","21.58129345700391","-401.8374130859922","445","212.74407833372624","-19.51184333254754","445"
"224","192.6366670620929","-61.72666587581418","447","201.13056915334113","-44.738861693317766","447","195.04006104826297","-56.91987790347407","447","159.73222712328752","-127.53554575342498","447","-16.226092983014894","-479.4521859660298","447"
"225","164.51698724299277","-119.96602551401448","449","170.3729071889085","-108.25418562218302","449","143.85722504395764","-161.28554991208472","449","120.2533423720491","-208.4933152559018","449","-5.296267825219246","-459.5925356504385","449"
"226","4.364850727762189","-442.2702985444756","451","189.32816774598518","-72.34366450802962","451","179.5690734105032","-91.86185317899363","451","170.57092144158946","-109.85815711682105","451","38.35611258372259","-374.2877748325548","451"
"227","-31.466401235213254","-515.9328024704265","453","96.51237779404306","-259.9752444119139","453","214.7582386411098","-23.48352271778038","453","95.11895075753068","-262.76209848493863","453","210.0145672614929","-32.97086547701418","453"
"228","45.538806159052314","-363.9223876818954","455","31.75341166078144","-391.4931766784371","455","220.46532149994331","-14.06935700011337","455","133.5895564960869","-187.82088700782617","455","195.64766458846307","-63.704670823073876","455"
"229","214.17045799517382","-28.659084009652343","457","-714.5503847729505","-1886.100769545901","457","68.00226605842622","-320.99546788314757","457","25.698486581813654","-405.6030268363727","457","193.0794645471006","-70.84107090579877","457"
"230","-121.39062565066791","-701.7812513013358","459","6.290870515603103","-446.4182589687938","459","173.42502336797415","-112.1499532640517","459","91.90027638079644","-275.1994472384071","459","221.75015240033858","-15.499695199322842","459"
"231","-269.83086303664663","-1000.6617260732933","461","117.22259916605469","-226.55480166789062","461","124.05993076513806","-212.88013846972387","461","116.81823439383402","-227.36353121233196","461","127.29774336583638","-206.40451326832724","461"
"232","0.3373401600727277","-462.32531967985454","463","212.28732731336453","-38.42534537327095","463","216.16864471455094","-30.662710570898145","463","179.80256243802046","-103.39487512395911","463","217.1379479647691","-28.724104070461802","463"
"233","-83.84103263885424","-632.6820652777085","465","71.42777369689415","-322.1444526062117","465","198.75430794478194","-67.49138411043609","465","211.56008690256505","-41.879826194869885","465","137.0875798853927","-190.8248402292146","465"
"234","143.01995264186237","-180.96009471627525","467","-179.11627455327033","-825.2325491065407","467","174.89917194098774","-117.20165611802452","467","157.5886634143019","-151.8226731713962","467","173.81716992355535","-119.3656601528893","467"
"235","-18.36385573575302","-505.72771147150604","469","-27.943367471866225","-524.8867349437324","469","150.79540462875474","-167.40919074249052","469","146.80322578416767","-175.39354843166467","469","185.72153807971108","-97.55692384057785","469"
"236","-458.06065333888364","-1387.1213066777673","471","75.77759634760713","-319.44480730478574","471","110.55292301299083","-249.89415397401834","471","144.8279238157646","-181.34415236847082","471","186.7976457884015","-97.40470842319704","471"
"237","-236.86619065274823","-946.7323813054965","473","-16.39228901844257","-505.78457803688514","473","189.38453013094576","-94.23093973810846","473","216.3576317238323","-40.28473655233538","473","144.59420626873424","-183.8115874625315","473"
"238","-15.598380626541143","-506.1967612530823","475","33.82391739988461","-407.3521652002308","475","164.44189735372163","-146.1162052925567","475","-9.521206487128524","-494.04241297425705","475","141.71278139272175","-191.5744372145565","475"
"239","196.6352413415064","-83.72951731698718","477","228.79549210086063","-19.409015798278723","477","201.51164708530658","-73.97670582938683","477","36.06760703058927","-404.86478593882146","477","116.67441244625405","-243.6511751074919","477"
"240","94.67312044934454","-289.6537591013109","479","147.8879063882407","-183.2241872235186","479","146.64294090714142","-185.71411818571715","479","193.65180567832775","-91.69638864334449","479","167.46925010386542","-144.06149979226916","479"
"241","-76.97512049657064","-634.9502409931413","481","195.645562767711","-89.708874464578","481","140.15219200731775","-200.69561598536453","481","-22.393843474589687","-525.7876869491794","481","212.25626923494397","-56.48746153011208","481"
"242","-362.4265669073751","-1207.8531338147502","483","5.590108359033536","-471.8197832819329","483","142.59747778855933","-197.80504442288134","483","219.76174134820755","-43.476517303584885","483","76.39272846295637","-330.21454307408726","483"
"243","-194.4873741602533","-873.9747483205066","485","9.631190024316652","-465.7376199513667","485","223.2449571176898","-38.51008576462037","485","58.80966743770165","-367.3806651245967","485","114.08322631782485","-256.8335473643503","485"
"244","182.03713479654465","-122.92573040691073","487","196.1030439685269","-94.79391206294622","487","189.1777769334535","-108.64444613309304","487","83.71039030475305","-319.5792193904939","487","221.28503164233777","-44.42993671532446","487"
"245","120.39743383490924","-248.20513233018153","489","165.22134629108422","-158.55730741783157","489","124.03629044592581","-240.92741910814837","489","-9.81878518305615","-508.6375703661123","489","-286.2227357465025","-1061.445471493005","489"
"246","144.94873083013746","-201.10253833972507","491","-16.068393219542315","-523.1367864390846","491","193.25168034842375","-104.49663930315249","491","-53.57055296174258","-598.1411059234852","491","103.51034565972421","-283.9793086805516","491"
"247","78.59861751146727","-335.80276497706546","493","-139.7380144902832","-772.4760289805664","493","92.49119313262008","-308.01761373475983","493","-54.35745179746522","-601.7149035949304","493","106.70034751309186","-279.5993049738163","493"
"248","202.04777518876162","-90.90444962247678","495","130.20488214491","-234.59023571018002","495","112.50600570235787","-269.98798859528426","495","138.34040469353693","-218.31919061292612","495","187.3931312946945","-120.21373741061097","495"
"249","-214.06838296074466","-925.1367659214893","497","63.47074817375804","-370.0585036524839","497","199.37069186348754","-98.2586162730249","497","-139.46408760992284","-775.9281752198457","497","209.40472900033018","-78.19054199933963","497"
"250","-67.6746037841628","-634.3492075683256","499","146.7701767304792","-205.4596465390416","499","197.08361851383876","-104.83276297232246","499","-152.62881534514372","-804.2576306902874","499","160.2647266593153","-178.4705466813694","499"
"251","125.59386166752297","-249.81227666495406","501","242.9780637215327","-15.0438725569346","501","233.95394909167337","-33.092101816653276","501","-72.04866945210216","-645.0973389042043","501","203.2813057540551","-94.4373884918898","501"
"252","-387.97603539723184","-1278.9520707944637","503","-443.6581591757008","-1390.3163183514016","503","99.79837805595062","-303.40324388809876","503","135.27682546435926","-232.44634907128147","503","241.86261692750284","-19.274766144994313","503"
"253","30.09996483895864","-444.8000703220827","505","60.59251126873929","-383.8149774625214","505","247.19923874325875","-10.601522513482484","505","-272.7388640000935","-1050.477728000187","505","211.08530444155625","-82.82939111688749","505"
"254","57.90674329884163","-391.18651340231673","507","117.02659389893168","-272.94681220213664","507","209.39802730561524","-88.20394538876954","507","72.79297968585081","-361.4140406282984","507","43.016039315246445","-420.9679213695071","507"
"255","153.7028157890086","-201.59436842198278","509","133.5422016522817","-241.9155966954366","509","159.40103408977157","-190.19793182045686","509","156.81898816387735","-195.3620236722453","509","194.05063390168021","-120.89873219663959","509"
"256","162.91909360782915","-185.16181278434166","511","75.62640796772146","-359.7471840645571","511","211.9207086499908","-87.1585827000184","511","84.1795582375185","-342.640883524963","511","147.44369091309238","-216.1126181738152","511"
"257","36.43749511576655","-440.1250097684669","513","237.73061185415222","-37.53877629169558","513","186.60891469713886","-139.7821706057223","513","70.02928992125624","-372.9414201574875","513","199.98679219819812","-113.02641560360378","513"
"258","-45.176440700783985","-605.352881401568","515","227.9868205908756","-59.02635881824881","515","194.94477493843766","-125.11045012312468","515","238.79710867419024","-37.40578265161952","515","240.52892417741754","-33.94215164516493","515"
"259","160.5834185621934","-195.83316287561323","517","201.74195677541067","-113.51608644917867","517","140.25753249284443","-236.48493501431113","517","132.53733623473104","-251.9253275305379","517","209.84360647449307","-97.31278705101387","517"
"260","-84.05459701296138","-687.1091940259228","519","129.4338404311687","-260.1323191376626","519","191.56431700473706","-135.87136599052585","519","-25.58256371516768","-570.1651274303354","519","201.11572086172131","-116.76855827655737","519"
"261","-197.35532926940323","-915.7106585388065","521","198.5941270654192","-123.81174586916161","521","188.46235384677823","-144.07529230644352","521","221.68777246551508","-77.62445506896982","521","245.40503060066288","-30.189938798674216","521"
"262","90.24431780058333","-342.51136439883334","523","249.38476355823704","-24.230472883525902","523","157.19939402243762","-208.6012119551248","523","-248.8998373080176","-1020.7996746160352","523","239.23340028201497","-44.533199435970076","523"
"263","-285.7314492749092","-1096.4628985498184","525","189.47912653751456","-146.0417469249709","525","191.30710408213184","-142.38579183573628","525","244.10309460438248","-36.79381079123507","525","199.22258063541727","-126.55483872916544","525"
"264","-167.42408408628575","-861.8481681725715","527","183.40625045480596","-160.18749909038806","527","245.5565291577566","-35.88694168448686","527","191.28584937440883","-144.42830125118235","527","38.65798901708416","-449.6840219658317","527"
"265","-608.8341449097015","-1746.668289819403","529","182.6489378838403","-163.7021242323194","529","165.97410546668868","-197.05178906662263","529","-99.38109551679008","-727.7621910335802","529","231.93711015501293","-65.12577968997414","529"
"266","-351.5139902150345","-1234.027980430069","531","236.59185877016148","-57.816282459677055","531","252.216713622539","-26.566572754921975","531","-31.992790050981398","-594.9855801019628","531","230.0397730363276","-70.9204539273448","531"
"267","-134.13647749950394","-801.2729549990079","533","218.5186893871549","-95.96262122569019","533","192.68609796600867","-147.62780406798262","533","130.36429777814936","-272.2714044437013","533","230.72102273239238","-71.55795453521523","533"
"268","-56.61542223631386","-648.2308444726277","535","202.24263437433814","-130.5147312513237","535","165.2995779278584","-204.4008441442832","535","168.5020815698981","-197.99583686020378","535","212.7302032773312","-109.53959344533754","535"
