"episode","comic-bush-346","comic-bush-346__MIN","comic-bush-346__MAX","spring-darkness-345","spring-darkness-345__MIN","spring-darkness-345__MAX","fragrant-shadow-344","fragrant-shadow-344__MIN","fragrant-shadow-344__MAX","comfy-forest-343","comfy-forest-343__MIN","comfy-forest-343__MAX","vocal-blaze-342","vocal-blaze-342__MIN","vocal-blaze-342__MAX"
"95","-50119.98321591452","-100428.96643182905","189","-3888.0542842257987","-7965.108568451597","189","-783.5847143546538","-1756.1694287093076","189","-64.55796800864152","-318.11593601728305","189","-5.530328763377696","-200.0606575267554","189"
"96","-60529.00811320705","-121249.0162264141","191","-3359.974028473196","-6910.948056946392","191","-403.43170592241034","-997.8634118448207","191","-565.8335149187801","-1322.6670298375602","191","-348.4392679514237","-887.8785359028474","191"
"97","-49689.87761911273","-99572.75523822547","193","-2713.1252458055455","-5619.250491611091","193","-153.32680828183288","-499.65361656366576","193","-379.7588086838157","-952.5176173676314","193","-136.21854107145734","-465.4370821429147","193"
"98","-39741.89276413621","-79678.78552827242","195","-1795.751618140172","-3786.503236280344","195","-15953.419892664735","-32101.83978532947","195","-41101.93220962749","-82398.86441925498","195","-20.78062359063702","-236.56124718127404","195"
"99","-37915.24133950084","-76027.48267900168","197","-3226.406892291804","-6649.813784583608","197","-304.9129688373697","-806.8259376747394","197","-37583.77799924205","-75364.5559984841","197","-431.9524661181581","-1060.9049322363162","197"
"100","-43250.12583748368","-86699.25167496737","199","-1675.2651635793552","-3549.5303271587104","199","-337.642695250692","-874.285390501384","199","-35982.39456776713","-72163.78913553426","199","-336.1727684715155","-871.345536943031","199"
"101","-48523.67342797735","-97248.3468559547","201","-3328.853106616102","-6858.706213232204","201","-419.0231786141094","-1039.0463572282188","201","-42129.89058652571","-84460.78117305142","201","-70.7956662968569","-342.5913325937138","201"
"102","-47072.48568493294","-94347.97136986587","203","-1917.669238623193","-4038.338477246386","203","-484.43556631221645","-1171.871132624433","203","-33218.72085574105","-66640.4417114821","203","56.02064035546246","-90.95871928907508","203"
"103","-40948.91076666794","-82102.82153333588","205","-1956.6582186911583","-4118.3164373823165","205","-133.1676725428985","-471.335345085797","205","-38606.48304908776","-77417.96609817552","205","29.1652433374651","-146.6695133250698","205"
"104","-40198.81069605822","-80604.62139211645","207","-2196.8153691104144","-4600.630738220829","207","-120.36024586314798","-447.72049172629596","207","-39378.65766551708","-78964.31533103416","207","-201.11162458681088","-609.2232491736218","207"
"105","-38035.057704780156","-76279.11540956031","209","-1873.4293283761701","-3955.8586567523403","209","-65.57936994403528","-340.15873988807056","209","-28549.80319736829","-57308.60639473658","209","-265.5346657456137","-740.0693314912274","209"
"106","-33293.36252986118","-66797.72505972236","211","-1771.713508933642","-3754.427017867284","211","-297.48659018730456","-805.9731803746091","211","-37135.43151854445","-74481.8630370889","211","-250.22676533555682","-711.4535306711136","211"
"107","-38562.57725859826","-77338.15451719653","213","-800.1045936142414","-1813.2091872284827","213","-340.88910286413704","-894.7782057282741","213","-44002.442752150004","-88217.88550430001","213","-54.77049303196344","-322.5409860639269","213"
"108","-44208.28278654998","-88631.56557309996","215","-573.6836613663279","-1362.3673227326558","215","-297.68812740369617","-810.3762548073923","215","-37862.633745059866","-75940.26749011973","215","-282.4366053693083","-779.8732107386166","215"
"109","-32303.46149244826","-64823.92298489652","217","-580.4701888566908","-1377.9403777133816","217","-278.5672929623088","-774.1345859246176","217","-44908.29631099495","-90033.5926219899","217","-185.0484040363129","-587.0968080726258","217"
"110","-30772.731361227383","-61764.462722454766","219","-606.6513195658812","-1432.3026391317624","219","-121.72247516869845","-462.4449503373969","219","-37802.55302087261","-75824.10604174522","219","-125.16641490591098","-469.33282981182197","219"
"111","-36298.41795115604","-72817.83590231209","221","-721.074611895864","-1663.149223791728","221","-75.2048122133476","-371.4096244266952","221","-33369.31870760056","-66959.63741520113","221","-112.76294922912282","-446.52589845824565","221"
"112","-40306.77055480592","-80836.54110961183","223","-502.0762173227148","-1227.1524346454296","223","37.71566638674257","-147.56866722651486","223","-57362.81754465307","-114948.63508930615","223","-19.025996511111117","-261.05199302222223","223"
"113","-29486.53533895543","-59198.07067791086","225","-88.55601854684915","-402.1120370936983","225","-717.5291047352604","-1660.0582094705208","225","-37409.94698477533","-75044.89396955066","225","102.93606701068047","-19.12786597863906","225"
"114","-39022.0358214909","-78271.0716429818","227","4.371308092320618","-218.25738381535876","227","-365.02914721553543","-957.0582944310709","227","-37748.35682068804","-75723.71364137607","227","81.86721544104469","-63.2655691179106","227"
"115","-35057.67085459883","-70344.34170919766","229","-20.2899552584137","-269.5799105168274","229","-433.3622932219689","-1095.7245864439378","229","-40772.97469833745","-81774.9493966749","229","-18.003665648603658","-265.0073312972073","229"
"116","-43283.92800013804","-86798.85600027608","231","49.2578526204383","-132.4842947591234","231","-72.89959913294666","-376.7991982658933","231","-41861.26097833134","-83953.52195666268","231","14.567565156463061","-201.86486968707388","231"
"117","-35507.63997717841","-71248.27995435683","233","-80.40661320811105","-393.8132264162221","233","-117.55094171279617","-468.10188342559235","233","-68382.77978238181","-136998.55956476362","233","57.271623519934806","-118.45675296013039","233"
"118","-35031.98243643812","-70298.96487287624","235","-188.1440996322138","-611.2881992644276","235","-367.20847033753216","-969.4169406750643","235","-36599.01340355986","-73433.02680711972","235","-17.317432941803986","-269.634865883608","235"
"119","-39709.42188407567","-79655.84376815135","237","-167.44464863182162","-571.8892972636432","237","-40.687072503792734","-318.37414500758547","237","-33356.254669469745","-66949.50933893949","237","-47.60522142020946","-332.2104428404189","237"
"120","-46568.03611196106","-93375.07222392212","239","104.69996139431163","-29.600077211376743","239","13.049645271667288","-212.90070945666542","239","-35145.813371095086","-70530.62674219017","239","-519.145995906361","-1277.291991812722","239"
