"episode","Group: Train_Rewards_simple_reference_if_load_meta:1 - _step","Group: Train_Rewards_simple_reference_if_load_meta:1 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_meta:1 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_meta:1 - train_rewards","Group: Train_Rewards_simple_reference_if_load_meta:1 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_meta:1 - train_rewards__MAX"
"41","81","81","81","-66799.48806034756","-124431.93915364018","-40852.26194497348"
"42","83","83","83","-54680.87302936219","-109294.8331561928","-4047.0007315353714"
"43","85","85","85","-48557.75172709526","-98436.51903597749","-3255.517471086991"
"44","87","87","87","-32014.8411636386","-84828.98857494307","-4616.296713716156"
"45","89","89","89","-23262.462743877117","-75193.47719874053","-1173.7239358201173"
"46","91","91","91","-16893.901960727868","-60105.15016955821","-420.514866427335"
"47","93","93","93","-28460.502803841955","-63720.301369875946","-393.4447905196823"
"48","95","95","95","-23826.39892213812","-64259.82831908791","-298.07370385959314"
"49","97","97","97","-21787.75060900688","-68303.13241111317","-513.2009617510068"
"50","99","99","99","-21797.044393396423","-72905.2406895293","-175.77712862951142"
"51","101","101","101","-20594.216578740765","-46528.63048902014","-3559.4573934812856"
"52","103","103","103","-14710.532708167073","-28711.172735143555","-1170.0098155942133"
"53","105","105","105","-24791.837466109042","-49364.226004494325","-116.4610422453277"
"54","107","107","107","-21968.710832696233","-39724.576807086596","-134.3412630407922"
"55","109","109","109","-18877.084732803567","-34348.97831290187","-583.8849773454997"
"56","111","111","111","-13605.629885797458","-39488.94464375013","-1396.6382349364728"
"57","113","113","113","-9407.459113941539","-19529.436553744294","-3010.889922487487"
"58","115","115","115","-18354.175022466865","-35657.12174856205","-6537.342115706472"
"59","117","117","117","-15505.768528383365","-34950.119773020975","-1473.277510961541"
"60","119","119","119","-18647.089878633655","-35940.39785136173","-958.8817025494636"
"61","121","121","121","-16249.039308382422","-35316.170164763374","-582.0465386328669"
"62","123","123","123","-22722.938541686475","-43530.08945750442","-7903.064858005288"
"63","125","125","125","-23132.757040599536","-55243.84590274295","-501.0594986523658"
"64","127","127","127","-18045.8701291428","-42182.89204914536","-516.3628347482131"
"65","129","129","129","-17688.159531878147","-33167.44515319733","-4881.25886184623"
"66","131","131","131","-20429.13670128074","-49763.60113619382","-2506.3515545093537"
"67","133","133","133","-23462.052091862704","-42359.623025368455","-3637.184695953623"
"68","135","135","135","-19707.055523413128","-42959.17774541095","-2383.517740019741"
"69","137","137","137","-13952.464136430537","-40866.71269234185","-3408.1775396399044"
"70","139","139","139","-11476.18528788962","-37795.56989707295","-770.2885494675863"
"71","141","141","141","-10204.89823707622","-35848.821077146036","-2835.735900726802"
"72","143","143","143","-13245.431333094064","-41940.194534665425","-2570.293345512441"
"73","145","145","145","-14293.966427087478","-38904.0794130399","-2789.0782920110837"
"74","147","147","147","-11933.216426909426","-48545.30559219266","-1021.1854683693336"
"75","149","149","149","-21834.95592235409","-71314.3028776344","-2845.783925312248"
"76","151","151","151","-17666.72833932458","-68358.77026543913","-1495.3176691836043"
"77","153","153","153","-21664.470718614895","-64080.089352869916","-1668.9218035775052"
"78","155","155","155","-28531.687966211302","-74216.29188971756","-1479.3302292785138"
"79","157","157","157","-27056.148346380833","-76549.2563095668","-797.1370298717366"
"80","159","159","159","-21373.2170903177","-46513.16132031616","-2613.1874165966947"
